taxa,variable,number_of_positive_tests ,effectsize,family
HM124260_g 1,M&R Higher BMI (Prevotella),3,-0.6484583062750964,Christensenellaceae
Blautia 1,M&R Upregulated metabolic sets,2,0.41144902385727217,Lachnospiraceae
Blautia 1,M&R Ruminococcaceae & Christensenellaceae - driven,4,-0.5358070611491123,Lachnospiraceae
AB239481_g 7,M&R Upregulated metabolic sets,3,-0.9162629333818472,Christensenellaceae
AB239481_g 7,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.751588139502868,Christensenellaceae
AB239481_g 7,M&R Higher BMI (Prevotella),2,-0.6209792833238924,Christensenellaceae
Pseudoflavonifractor 9,M&R CMV seropositive,2,0.38520698420792837,Ruminococcaceae
Pseudoflavonifractor 9,M&R Higher BMI (Prevotella),2,-0.6048447137539752,Ruminococcaceae
FJ848448_g 1,M&R Upregulated metabolic sets,3,-0.7348462603972783,Christensenellaceae
Veillonella 3,M&R CMV seropositive,3,-0.831420820926408,Veillonellaceae
AB009176_g 8,M&R Upregulated metabolic sets,3,-0.8843791541821094,Ruminococcaceae
AB009176_g 8,M&R Ruminococcaceae & Christensenellaceae - driven,2,1.0034774005687854,Ruminococcaceae
AB009176_g 8,M&R Higher BMI (Prevotella),2,-0.4635390939066721,Ruminococcaceae
Marvinbryantia 1,M&R Upregulated metabolic sets,2,-0.5244887578174334,Lachnospiraceae
Marvinbryantia 1,M&R Higher BMI (Prevotella),2,-0.6328988581118922,Lachnospiraceae
Lactococcus 1,M&R Upregulated metabolic sets,2,0.42166937953484346,Streptococcaceae
Lactococcus 1,M&R Higher BMI (Prevotella),2,-0.4459082747919138,Streptococcaceae
Sellimonas 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.7837575486664691,Lachnospiraceae
Sellimonas 1,M&R CMV seropositive,2,0.4830834189806077,Lachnospiraceae
Sellimonas 1,M&R Higher BMI (Prevotella),2,-0.6667195134378756,Lachnospiraceae
Bacteroides 11,M&R Upregulated metabolic sets,2,0.344654823661824,Bacteroidaceae
Oscillibacter 18,M&R Upregulated metabolic sets,2,0.5574191045917867,Ruminococcaceae
Oscillibacter 18,M&R Ruminococcaceae & Christensenellaceae - driven,3,-0.4479852969386715,Ruminococcaceae
Oscillibacter 18,M&R Higher BMI (Prevotella),2,-0.6691333989944585,Ruminococcaceae
Victivallis 2,M&R Upregulated metabolic sets,2,-0.3677714734094297,Victivallaceae
Victivallis 2,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.8337673151908793,Victivallaceae
AB239481_g 8,M&R Upregulated metabolic sets,3,-0.5574578194942325,Christensenellaceae
AB239481_g 8,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.4370482911179857,Christensenellaceae
AB239481_g 8,M&R Higher BMI (Prevotella),3,-0.39978047262591754,Christensenellaceae
Murimonas 4,M&R Upregulated metabolic sets,3,-0.5191162098410814,Lachnospiraceae
Murimonas 4,M&R CMV seropositive,3,-0.5824657909762687,Lachnospiraceae
Eubacterium_g23 8,M&R Upregulated metabolic sets,2,-0.4873836132902823,Ruminococcaceae
Eubacterium_g23 8,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.8978228046626213,Ruminococcaceae
Eubacterium_g23 8,M&R CMV seropositive,2,-0.7564786215947504,Ruminococcaceae
HM124260_g 2,M&R Upregulated metabolic sets,2,-0.3798644639308833,Christensenellaceae
HM124260_g 2,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.9100699575634845,Christensenellaceae
HM124260_g 2,M&R Higher BMI (Prevotella),2,-0.8209337248051998,Christensenellaceae
Clostridium_g24 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.3920761254176605,Lachnospiraceae
Turicibacter 1,M&R Higher BMI (Prevotella),2,-0.8549525578437358,Erysipelotrichaceae
Sporobacter 17,M&R Upregulated metabolic sets,2,-0.5773981455629147,Ruminococcaceae
Sporobacter 17,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.6811704340842339,Ruminococcaceae
Sporobacter 17,M&R Higher BMI (Prevotella),2,-0.4627113491379296,Ruminococcaceae
Oscillibacter 19,M&R Higher BMI (Prevotella),2,-0.3679290027245526,Ruminococcaceae
Pseudoflavonifractor 12,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.5053487513185646,Ruminococcaceae
Pseudoflavonifractor 12,M&R CMV seropositive,2,-0.3808388147014648,Ruminococcaceae
AY442821_g 1,M&R CMV seropositive,2,-0.4851214748992274,Christensenellaceae
Mogibacterium 1,M&R Upregulated metabolic sets,2,0.4446256807629752,Mogibacterium_f
Mogibacterium 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.4653977808268585,Mogibacterium_f
Mogibacterium 1,M&R CMV seropositive,2,-0.7471556283094394,Mogibacterium_f
GU302849_g 1,M&R Upregulated metabolic sets,3,-1.0865840373978004,Christensenellaceae
GU302849_g 1,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.7102869046964093,Christensenellaceae
GU302849_g 1,M&R Higher BMI (Prevotella),2,-0.6374997418491148,Christensenellaceae
Howardella 1,M&R Upregulated metabolic sets,3,-0.7615611689946725,Lachnospiraceae
Howardella 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.4777683661103818,Lachnospiraceae
Howardella 1,M&R CMV seropositive,3,-0.6667692130448416,Lachnospiraceae
Bacteroides 10,M&R Ruminococcaceae & Christensenellaceae - driven,2,-1.1289986256713083,Bacteroidaceae
Bacteroides 10,M&R Higher BMI (Prevotella),2,0.8181087078023099,Bacteroidaceae
HM124260_g 3,M&R Upregulated metabolic sets,2,-0.71652990951874,Christensenellaceae
Sporobacter 19,M&R Upregulated metabolic sets,2,-0.6964387244828685,Ruminococcaceae
Sporobacter 19,M&R CMV seropositive,2,0.7425024030321253,Ruminococcaceae
Sporobacter 19,M&R Higher BMI (Prevotella),2,-0.6140914086545344,Ruminococcaceae
AM277063_g 2,M&R Upregulated metabolic sets,2,-0.6013250081815859,Coriobacteriaceae
AM277063_g 2,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.39719328497604606,Coriobacteriaceae
AM277063_g 2,M&R CMV seropositive,3,0.9702805807230822,Coriobacteriaceae
AM277063_g 2,M&R Higher BMI (Prevotella),2,-0.38135988595361203,Coriobacteriaceae
AM500802_g 1,M&R Higher BMI (Prevotella),3,-0.6826286912091475,Mogibacterium_f
Oscillibacter 2,M&R Upregulated metabolic sets,2,-0.5615581046715217,Ruminococcaceae
Oscillibacter 2,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.5160628738017242,Ruminococcaceae
Eubacterium_g4 3,M&R Upregulated metabolic sets,2,0.6559792322689101,Lachnospiraceae
Eubacterium_g4 3,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.507574350681264,Lachnospiraceae
Eubacterium_g4 3,M&R Higher BMI (Prevotella),2,-0.3466353821795611,Lachnospiraceae
Coprococcus_g1 2,M&R Higher BMI (Prevotella),2,-0.8112519947822002,Lachnospiraceae
EU842423_g 2,M&R Upregulated metabolic sets,3,-0.9427061084638946,Lachnospiraceae
EU842423_g 2,M&R CMV seropositive,2,0.5985444266576617,Lachnospiraceae
EU842423_g 2,M&R Higher BMI (Prevotella),2,-0.552055513674052,Lachnospiraceae
Sporobacter 2,M&R Upregulated metabolic sets,2,-0.42604287484368797,Ruminococcaceae
Sporobacter 2,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.49841923312051434,Ruminococcaceae
Sporobacter 2,M&R Higher BMI (Prevotella),2,-0.6992464174267166,Ruminococcaceae
Oscillibacter 21,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.3936662698871411,Ruminococcaceae
Oscillibacter 21,M&R CMV seropositive,2,0.6861449217466407,Ruminococcaceae
Pseudoflavonifractor 13,M&R Higher BMI (Prevotella),2,-0.465900271925253,Ruminococcaceae
EU381776_g 1,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.5101402160005237,Mogibacterium_f
Oscillibacter 3,M&R Upregulated metabolic sets,2,-0.6280659592868376,Ruminococcaceae
Oscillibacter 3,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.4936051029674622,Ruminococcaceae
Oscillibacter 3,M&R Higher BMI (Prevotella),2,-0.5986648288503771,Ruminococcaceae
Clostridium_g23 1,M&R Upregulated metabolic sets,4,0.8055171968173102,Lachnospiraceae
Clostridium_g23 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.7057167236220999,Lachnospiraceae
AB239481_g 10,M&R Upregulated metabolic sets,2,-0.6408245283494397,Christensenellaceae
AB239481_g 10,M&R Ruminococcaceae & Christensenellaceae - driven,3,1.002196917111436,Christensenellaceae
AB239481_g 10,M&R Higher BMI (Prevotella),2,-0.9253352176591833,Christensenellaceae
EF400272_g 1,M&R Upregulated metabolic sets,2,-0.45776170971788466,Ruminococcaceae
EF400272_g 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.5157396480140791,Ruminococcaceae
EF400272_g 1,M&R Higher BMI (Prevotella),2,-0.5364414982161391,Ruminococcaceae
Oscillibacter 22,M&R Higher BMI (Prevotella),2,-0.40985881748715997,Ruminococcaceae
AB009176_g 16,M&R Upregulated metabolic sets,3,-0.6251685432493939,Ruminococcaceae
AB009176_g 16,M&R Ruminococcaceae & Christensenellaceae - driven,4,0.7689053411877806,Ruminococcaceae
AB009176_g 16,M&R CMV seropositive,2,-0.5342337357297536,Ruminococcaceae
AB009176_g 16,M&R Higher BMI (Prevotella),2,-0.43311933012454756,Ruminococcaceae
Butyricimonas 5,M&R Higher BMI (Prevotella),2,-0.5294717951435621,Odoribacteraceae
Slackia 1,M&R CMV seropositive,3,-0.40383392886237396,Coriobacteriaceae
Coprobacter 4,M&R CMV seropositive,3,0.38209453825979195,Porphyromonadaceae
Phascolarctobacterium 3,M&R Higher BMI (Prevotella),2,-1.579765820356748,Acidaminococcaceae
AY442821_g 2,M&R Upregulated metabolic sets,2,-0.6772859134451393,Christensenellaceae
HM124260_g 4,M&R Upregulated metabolic sets,2,-0.5371853222435846,Christensenellaceae
HM124260_g 4,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.5738349714981746,Christensenellaceae
HM124260_g 4,M&R Higher BMI (Prevotella),2,-0.6850536376516231,Christensenellaceae
Eubacterium_g5 1,M&R Upregulated metabolic sets,2,0.35856839075058294,Lachnospiraceae
Acidaminococcus 1,M&R Upregulated metabolic sets,2,-1.5206022701194,Acidaminococcaceae
Acidaminococcus 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.7331036995291151,Acidaminococcaceae
Acidaminococcus 1,M&R CMV seropositive,2,-0.4793091622841035,Acidaminococcaceae
Lachnospiraceae 9,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.5158704873408155,Lachnospiraceae
Lachnospiraceae 9,M&R CMV seropositive,2,0.6157159814194255,Lachnospiraceae
Lachnospiraceae 7,M&R Upregulated metabolic sets,2,-0.6182674585493179,Lachnospiraceae
Clostridium 2,M&R Upregulated metabolic sets,2,-0.9502848737811664,Clostridiaceae
Clostridium 2,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.7505425918357524,Clostridiaceae
Pseudoflavonifractor 15,M&R CMV seropositive,2,0.4024951154546757,Ruminococcaceae
Pseudoflavonifractor 15,M&R Higher BMI (Prevotella),2,-0.3829964820058732,Ruminococcaceae
EU844456_g 1,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.3809759074334485,Mogibacterium_f
EU844456_g 1,M&R Higher BMI (Prevotella),3,-0.6813765612685667,Mogibacterium_f
Sporobacter 20,M&R Upregulated metabolic sets,3,-0.5760949493379008,Ruminococcaceae
Sporobacter 20,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.5235774888428443,Ruminococcaceae
Bacteroides 2,M&R Upregulated metabolic sets,3,0.6204834647649735,Bacteroidaceae
HM124151_g 2,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.5043507664593713,Christensenellaceae
HM124151_g 2,M&R Higher BMI (Prevotella),2,-0.8235158366299825,Christensenellaceae
Parabacteroides 4,M&R Upregulated metabolic sets,2,0.3915361019672289,Porphyromonadaceae
Parabacteroides 4,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.35528956705840087,Porphyromonadaceae
Blautia 19,M&R Higher BMI (Prevotella),2,-0.6277676722740909,Lachnospiraceae
Bacteroides 62,M&R CMV seropositive,2,-0.5405811494391091,Bacteroidaceae
Bacteroides 62,M&R Higher BMI (Prevotella),3,0.6418342658960746,Bacteroidaceae
HQ452860_g 1,M&R Upregulated metabolic sets,3,-0.7999148733913642,Erysipelotrichaceae
HQ452860_g 1,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.6201128971021627,Erysipelotrichaceae
HQ452860_g 1,M&R Higher BMI (Prevotella),3,-0.588788649629305,Erysipelotrichaceae
HM124260_g 6,M&R Upregulated metabolic sets,2,-0.4774855516737182,Christensenellaceae
HM124260_g 6,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.45446356538391214,Christensenellaceae
Ruminococcus_g2 2,M&R Higher BMI (Prevotella),2,-2.1804869693333186,Ruminococcaceae
Eisenbergiella 1,M&R CMV seropositive,3,0.6567659412952951,Lachnospiraceae
Sutterella 2,M&R Upregulated metabolic sets,3,-2.7940872971495145,Sutterellaceae
Actinomyces 1,M&R Upregulated metabolic sets,2,0.4846541708758145,Actinomycetaceae
Clostridium_g24 2,M&R Upregulated metabolic sets,2,0.5019036143613879,Lachnospiraceae
EU622770_g 1,M&R Upregulated metabolic sets,2,0.7160010699435384,Peptococcaceae
EU622770_g 1,M&R CMV seropositive,2,-0.38428073188227063,Peptococcaceae
Oscillibacter 4,M&R Higher BMI (Prevotella),2,-0.4718456064456527,Ruminococcaceae
Intestinibacter 1,M&R CMV seropositive,2,-0.6547284426025588,Peptostreptococcaceae
AB009176_g 20,M&R Upregulated metabolic sets,2,-0.5564280855962703,Ruminococcaceae
AB009176_g 20,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.7648064020229214,Ruminococcaceae
AB009176_g 20,M&R CMV seropositive,2,-0.4475104866670502,Ruminococcaceae
Alistipes 2,M&R Higher BMI (Prevotella),3,-1.0368389892731968,Rikenellaceae
Lachnospiraceae 16,M&R Higher BMI (Prevotella),2,-0.5715730252579261,Lachnospiraceae
AB009176_g 22,M&R Upregulated metabolic sets,3,-0.6532698364918309,Ruminococcaceae
AB009176_g 22,M&R CMV seropositive,2,-0.42118745366793714,Ruminococcaceae
GU302849_g 3,M&R Upregulated metabolic sets,2,-0.25675971786631724,Christensenellaceae
GU302849_g 3,M&R Ruminococcaceae & Christensenellaceae - driven,3,0.6888325411662904,Christensenellaceae
GU302849_g 3,M&R Higher BMI (Prevotella),3,-0.4975284492196225,Christensenellaceae
EF602946_g 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.3487463133454965,Ruminococcaceae
EF602946_g 1,M&R Higher BMI (Prevotella),2,-0.41536390562372566,Ruminococcaceae
AB606260_g 1,M&R Upregulated metabolic sets,2,-0.3340167491895989,Hydrogenispora_f
AB606260_g 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.4754004636868443,Hydrogenispora_f
AB606260_g 1,M&R CMV seropositive,2,-0.42472529117156105,Hydrogenispora_f
Faecalibacterium 5,M&R Upregulated metabolic sets,2,0.6819118361341716,Ruminococcaceae
Faecalibacterium 5,M&R CMV seropositive,2,-1.0049493193778054,Ruminococcaceae
EF401862_g 1,M&R CMV seropositive,2,-0.35390565969445975,Christensenellaceae
EF401862_g 1,M&R Higher BMI (Prevotella),2,0.2927396357238598,Christensenellaceae
EF402988_g 1,M&R Upregulated metabolic sets,2,0.6459752025652373,Lachnospiraceae
EF402988_g 1,M&R Higher BMI (Prevotella),2,-0.586426539169033,Lachnospiraceae
GU302849_g 4,M&R Upregulated metabolic sets,2,-0.4325832298356262,Christensenellaceae
GU302849_g 4,M&R Ruminococcaceae & Christensenellaceae - driven,4,0.6398309141909788,Christensenellaceae
GU302849_g 4,M&R Higher BMI (Prevotella),2,-0.3033220173346162,Christensenellaceae
Alloprevotella 1,M&R Upregulated metabolic sets,3,-1.8275335474614587,Prevotellaceae
Alloprevotella 1,M&R Higher BMI (Prevotella),2,0.6657268363459914,Prevotellaceae
Bacteroides 13,M&R Higher BMI (Prevotella),2,-0.8430299161130131,Bacteroidaceae
Pseudoflavonifractor 19,M&R Upregulated metabolic sets,2,-0.555977356408812,Ruminococcaceae
Pseudoflavonifractor 19,M&R Higher BMI (Prevotella),2,-0.3467315740833158,Ruminococcaceae
Caproiciproducens 7,M&R Upregulated metabolic sets,2,-0.4070603067934562,Ruminococcaceae
Caproiciproducens 7,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.36378885146813433,Ruminococcaceae
Ruminococcus_g4 3,M&R Higher BMI (Prevotella),2,-0.6334575482399634,Lachnospiraceae
Bacteroides 17,M&R Upregulated metabolic sets,2,0.597164972898127,Bacteroidaceae
Bacteroides 17,M&R Higher BMI (Prevotella),3,-1.6825864386405005,Bacteroidaceae
Caproiciproducens 6,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.5749034508844222,Ruminococcaceae
Caproiciproducens 6,M&R Higher BMI (Prevotella),2,-0.5151496775516697,Ruminococcaceae
EF400272_g 2,M&R Upregulated metabolic sets,2,0.38846904359888845,Ruminococcaceae
EF400272_g 2,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.3252151716810521,Ruminococcaceae
EF602946_g 2,M&R Higher BMI (Prevotella),2,-0.3059336876102337,Ruminococcaceae
Eubacterium_g23 1,M&R CMV seropositive,2,-1.1246269512270173,Ruminococcaceae
Eggerthella 1,M&R Higher BMI (Prevotella),2,-0.47237344438312706,Coriobacteriaceae
Lachnospiraceae 20,M&R CMV seropositive,2,0.35735653119562494,Lachnospiraceae
